Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Tadych's Marquette,"1401 Odovero Dr, Marquette, MI 49855, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.5422755,-87.4239962,45.457926,-94.109887,38.6534191,-90.1888562
Tadych's Iron Mountain,"1600 South Stephenson Ave, Iron Mountain, MI 49801, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.8069757,-88.0510374,45.457926,-94.109887,38.6534191,-90.1888562
Tadych's Houghton,"1000 West Sharon Ave, Houghton, MI 49931, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",47.1146194,-88.5901092,45.457926,-94.109887,38.6534191,-90.1888562
Weis Markets Parkville,"9613 Harford Road, Parkville, MD 21234, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.3955572,-76.5224479,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets Baltimore,"1080 Maiden Choice Lane, Baltimore, MD 21229, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.2608466,-76.6959952,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets York,"2065 Springwood Road, York, PA 17403, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.9410945,-76.6921228,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets Frederick,"6093 Spring Ridge Parkway, Frederick, MD 21701, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.3991323,-77.3459096,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets Bellefonte,"170 Buckaroo Lane, Bellefonte, PA 16823, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",40.9126305,-77.7389491,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets Clarks Summit,"1020 Northern Boulevard, Clarks Summit, PA 18411, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",41.4851178,-75.6907088,40.9886013,-76.8531525,40.2076711,-76.1532554
Weis Markets Huntingdon Valley,"2100 County Line Road, Huntingdon Valley, PA 19006, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",40.1693959,-75.0729888,40.9886013,-76.8531525,40.2076711,-76.1532554
Coborn's Buffalo,"630 Ryan's Way, Buffalo, MN 55313, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.1769463,-93.8621531,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Jamestown,"410 10th St SE, Jamestown, ND 58401, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8976087,-98.7033407,45.457926,-94.109887,38.6534191,-90.1888562
Weis Markets Perry Hall,"9400 Scott Moore Way, Perry Hall, MD 21128, USA","16 S Industrial Park Rd, Milton, PA 17847","400 Wabash Road, Ephrata, PA 17522",39.4056574,-76.4422556,40.9886013,-76.8531525,40.2076711,-76.1532554
Schnucks Green River,"3501 North Green River Road, Evansville, IN 47715, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.0095743,-87.4896278,38.738523,-90.3304905,38.6534191,-90.1888562
Rubschlager Building at RUSH - 1st Floor,"1520 West Harrison St. , Chicago, IL 60612, USA","1438 W. Harrison St, Chicago, IL 60607","72 Produce Row, St Louis, MO 63102",41.8746256,-87.6656454,41.8750434,-87.6638929,38.6534191,-90.1888562
Coborn's Little Falls,"1101 2nd Avenue Northeast, Little Falls, MN 56345, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.9774005,-94.3442919,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Mora,"710 Frankie Ln, Mora, MN 55051, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",45.8699389,-93.2907106,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Huron,"2150 Dakota Ave South, Huron, SD 57350, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",44.3404775,-98.212754,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Mitchell,"1800 North Main St, Mitchell, SD 57301, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",43.7271575,-98.0242958,45.457926,-94.109887,38.6534191,-90.1888562
Coborn's Glencoe,"2211 11th St E, Glencoe, MN 55336, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",44.7709777,-94.1331452,45.457926,-94.109887,38.6534191,-90.1888562
Marketplace Foods Menomonie,"207 Pine Ave West, Menomonie, WI 54751, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",44.9021485,-91.9342028,45.457926,-94.109887,38.6534191,-90.1888562
Hornbacher’s West Fargo,"2050 Sheyenne St., West Fargo, ND 58078, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8523734,-96.9082705,45.457926,-94.109887,38.6534191,-90.1888562
Hornbacher’s Fargo - Village W,"4101 S 13th Ave South, Fargo, ND 58103, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8631391,-96.8499791,45.457926,-94.109887,38.6534191,-90.1888562
Hornbacher's Moorhead - Azool,"950 40th Ave South, Moorhead, MN 56560, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8339756,-96.7656224,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise New Ulm,"1220 Westridge Rd, New Ulm, MN 56073, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",44.3281387,-94.4903579,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Minot,"3208 16th St SouthWest, Minot, ND 58701, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",48.2029191,-101.3202928,45.457926,-94.109887,38.6534191,-90.1888562
Cash Wise Fargo - 52nd Ave South,"4907 Timber Parkway South, South Fargo, ND 58104, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.8066228,-96.8312778,45.457926,-94.109887,38.6534191,-90.1888562
Exxon Mobil North Complex Cafe,"4045 Scenic Hwy, Baton Rouge, LA 70805, USA","3545 Scenic Hwy, Baton Rouge, LA 70805","72 Produce Row, St Louis, MO 63102",30.4863413,-91.1697981,30.4816547,-91.1706984,38.6534191,-90.1888562
Exxon Mobil South Complex Cafe,"4045 Scenic Hwy, Baton Rouge, LA 70805, USA","3545 Scenic Hwy, Baton Rouge, LA 70805","72 Produce Row, St Louis, MO 63102",30.4863413,-91.1697981,30.4816547,-91.1706984,38.6534191,-90.1888562
Lockheed Martin 50' Aisle,"1 Lockheed Blvd, Fort Worth, TX 76108, USA","7920 Clifford St., Fort Worth, TX 76108","72 Produce Row, St Louis, MO 63102",32.7763222,-97.4472628,32.7659832,-97.4517732,38.6534191,-90.1888562
Lockheed Martin Aero Café ,"1 Lockheed Blvd, Fort Worth, TX 76108, USA","7920 Clifford St., Fort Worth, TX 76108","72 Produce Row, St Louis, MO 63102",32.7763222,-97.4472628,32.7659832,-97.4517732,38.6534191,-90.1888562
Schnucks Corporate Cafe,"11420 Lackland Road, St. Louis, MO 63146, USA","11420 Lackland Rd, St Louis, MO 63146","72 Produce Row, St Louis, MO 63102",38.6964589,-90.4166937,38.6964589,-90.4166937,38.6534191,-90.1888562
Festival Foods Kimberly,"800 East Maes Ave, Kimberly, WI 54136, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",44.2756319,-88.3254493,44.9611159,-92.438396,38.6534191,-90.1888562
