Name,DC or DSD,Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Safeway Bradley Blvd - Picadeli # 12655 / Customer # 2848,DC,Safeway Bradley Blvd,"5000 Bradley Blvd, Bethesda, MD 20815, USA","500 South Muddy Creek Road, Denver, PA 17517, USA","400 Wabash Road, Ephrata, PA 17522",38.9774035,-77.0991291,40.2129877,-76.0802754,40.2076711,-76.1532554
Giant East Market Street - Picadeli # 9293 / Customer # 6087,DC,Giant East Market Street,"2415 East Market Street, York, PA 17402, USA","1621 Industrial Drive, Carlisle, PA 17013","400 Wabash Road, Ephrata, PA 17522",39.9752839,-76.6786287,40.2007960,-77.2314755,40.2076711,-76.1532554
Martin's Londontown Blvd - Picadeli # 9295 / Customer # 6307,DC,Martin's Londontown Blvd,"1320 Londontown Blvd, Eldersburg, MD 21784, USA","1621 Industrial Drive, Carlisle, PA 17013","400 Wabash Road, Ephrata, PA 17522",39.4109924,-76.9486179,40.2007960,-77.2314755,40.2076711,-76.1532554
Fort Belvoir Commissary - Picadeli # 9541 / Customer # 89965003,DSD,Fort Belvoir Commissary,"6050 Gorgas Rd Bldg. 2325, Fort Belvoir, VA 22060, USA","9500 Pohick Road, Fort Belvoir, VA 22060","400 Wabash Road, Ephrata, PA 17522",38.7190613,-77.1450142,38.6994527,-77.1556933,40.2076711,-76.1532554
Glatfelter Insurance Group - Picadeli # 9583,DSD,Glatfelter Insurance Group,"183 Leader Heights Rd. , York , PA 17402, USA","183 Leader Heights Road, York, PA 17402","400 Wabash Road, Ephrata, PA 17522",39.9119777,-76.7001866,39.9119777,-76.7001866,40.2076711,-76.1532554
Schnucks City Plaza - Picadeli # 9904 / Customer # 113,DC,Schnucks City Plaza,"3431 Union Blvd., St. Louis, MO 63115, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6793947,-90.2612707,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Overland - Picadeli # 9909 / Customer # 141,DC,Schnucks Overland,"9074 Overland Plaza, Overland, MO 63114, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6853238,-90.3591496,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Fenton - Picadeli # 9906 / Customer # 212,DC,Schnucks Fenton,"45 Gravois Bluffs Plaza Drive, Fenton, MO 63026, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.5076161,-90.4475027,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Westfall Plaza - Picadeli # 9907 / Customer # 145,DC,Schnucks Westfall Plaza,"8037 West Florissant Avenue, Jennings, MO 63136, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.7292979,-90.2743293,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Ladue - Picadeli # 9903 / Customer # 188,DC,Schnucks Ladue,"8867 Ladue Rd, Ladue, MO 63124, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6562455,-90.3541878,38.7385230,-90.3304905,38.6534191,-90.1888562
